Equipo;Corredor;Coef_historico;N_carreras;uci;Rating_historico;Color_gauge;victorias;victorias_pct;podiums;podiums_pct;top10;top10_pct;numero_cri;Coef_historico_old;N_carrers_old;uci_old;Rating_historico_old;Color_gauge_old;victorias_old;victorias_pct_old;podiums_old;podiums_pct_old;top10_old;top10_pct_old;numero_cri_old;Ranking;nacimiento
Movistar Team;serrano gonzalo;0.115;21;0;61.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;4.76;21.0;0.041;17.0;0.0;60.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;17.0;297;1994-08-17
Soudal Quick-Step;knox james;0.114;40;0;61.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;40.0;0.215;35.0;0.0;63.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;35.0;298;1995-11-04
Movistar Team;guerreiro ruben;0.111;38;0;61.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;38.0;0.146;35.0;0.0;62.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;35.0;299;1994-07-06
Astana Qazaqstan Team;ballerini davide;0.109;31;17;61.0;#FFFF00;1.0;3.23;1.0;3.23;3.0;9.68;31.0;0.199;26.0;17.0;63.0;#FFFF00;1.0;3.85;1.0;3.85;3.0;11.54;26.0;300;1994-09-21
UAE Team Emirates;vink michael;0.109;6;0;61.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.307;3.0;0.0;65.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;3.0;301;1991-11-22
EF Education - EasyPost;chaves esteban;0.107;52;40;61.0;#FFFF00;0.0;0.0;1.0;1.92;4.0;7.69;52.0;0.153;48.0;40.0;62.0;#FFFF00;0.0;0.0;1.0;2.08;4.0;8.33;48.0;302;1990-01-17
Decathlon AG2R La Mondiale Team;cosnefroy benoit;0.103;31;35;61.0;#FFFF00;1.0;3.23;2.0;6.45;4.0;12.9;31.0;-0.019;27.0;15.0;59.0;#FFA500;0.0;0.0;1.0;3.7;3.0;11.11;27.0;303;1995-10-17
Groupama - FDJ;rochas remy;0.102;31;0;61.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;3.23;31.0;0.004;25.0;0.0;59.0;#FFA500;0.0;0.0;0.0;0.0;1.0;4.0;25.0;304;1996-05-18
Bahrain - Victorious;zambanini edoardo;0.101;13;0;61.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;13.0;-0.18;7.0;0.0;56.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;7.0;305;2001-04-21
Lidl - Trek;skujins toms;0.095;48;0;61.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;4.17;48.0;0.075;42.0;0.0;60.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;2.38;42.0;306;1991-06-15
Lidl - Trek;theuns edward;0.095;55;2;61.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;1.82;55.0;0.057;48.0;2.0;60.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;2.08;48.0;307;1991-04-30
Decathlon AG2R La Mondiale Team;lapeira paul;0.095;15;0;61.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0.061;9.0;0.0;60.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;9.0;308;2000-05-25
Astana Qazaqstan Team;chzhan igor;0.093;8;0;61.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.696;4.0;0.0;72.0;#ADFF2F;0.0;0.0;0.0;0.0;0.0;0.0;4.0;309;1999-10-02
Team dsm-firmenich PostNL;vermaerke kevin;0.09;17;0;61.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;17.0;0.151;13.0;0.0;62.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;13.0;310;2000-10-16
Team Visma | Lease a Bike;kuss sepp;0.089;46;65;61.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;4.35;46.0;0.05;40.0;65.0;60.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;5.0;40.0;311;1994-09-01
Alpecin - Deceuninck;gaze samuel;0.086;4;20;61.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;25.0;4.0;0.086;4.0;20.0;61.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;25.0;4.0;312;1995-12-12
Astana Qazaqstan Team;gazzoli michele;0.086;11;0;61.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.464;8.0;0.0;68.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;8.0;313;1999-03-04
Astana Qazaqstan Team;lopez harold martin;0.079;5;0;61.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;5.0;;;;;;;;;;;;;314;2000-12-03
Alpecin - Deceuninck;laurance axel;0.079;12;0;61.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;12.0;-0.033;6.0;0.0;58.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;6.0;315;2001-04-01
Arkea - B&B Hotels;grondin donavan;0.074;12;0;60.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.137;7.0;0.0;62.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;7.0;316;2000-09-26
Movistar Team;muhlberger gregor;0.072;34;14;60.0;#FFFF00;1.0;2.94;1.0;2.94;1.0;2.94;34.0;0.042;28.0;14.0;60.0;#FFFF00;1.0;3.57;1.0;3.57;1.0;3.57;28.0;317;1994-04-04
Intermarche - Wanty;meintjes louis;0.072;65;20;60.0;#FFFF00;0.0;0.0;1.0;1.54;2.0;3.08;65.0;0.102;56.0;20.0;61.0;#FFFF00;0.0;0.0;1.0;1.79;2.0;3.57;56.0;318;1992-02-21
Movistar Team;rubio einer;0.071;8;3;60.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;12.5;8.0;;;;;;;;;;;;;319;1998-02-22
EF Education - EasyPost;shaw james;0.07;24;20;60.0;#FFFF00;0.0;0.0;1.0;4.17;2.0;8.33;24.0;0.097;15.0;20.0;61.0;#FFFF00;0.0;0.0;1.0;6.67;2.0;13.33;15.0;320;1996-06-01
Groupama - FDJ;pacher quentin;0.065;35;10;60.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;35.0;-0.038;28.0;0.0;58.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;28.0;321;1992-01-06
Team dsm-firmenich PostNL;hamilton chris;0.062;50;0;60.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;50.0;0.127;42.0;0.0;61.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;42.0;322;1995-05-18
Lidl - Trek;nys thibau;0.058;11;0;60.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;9.09;11.0;0.04;6.0;0.0;60.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;16.67;6.0;323;2002-11-12
INEOS Grenadiers;puccio salvatore;0.052;66;0;60.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;66.0;0.07;62.0;0.0;60.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;62.0;324;1989-08-31
Team dsm-firmenich PostNL;degenkolb john;0.048;71;3;60.0;#FFFF00;0.0;0.0;0.0;0.0;3.0;4.23;71.0;0.044;66.0;3.0;60.0;#FFFF00;0.0;0.0;0.0;0.0;3.0;4.55;66.0;325;1989-01-07
Arkea - B&B Hotels;dekker david;0.046;15;0;60.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;6.67;15.0;0.178;10.0;0.0;62.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;10.0;10.0;326;1998-02-02
Team dsm-firmenich PostNL;barguil warren;0.043;51;0;60.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;51.0;0.017;47.0;0.0;59.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;47.0;327;1991-10-28
UAE Team Emirates;laengen vegard stake;0.038;37;20;60.0;#FFFF00;0.0;0.0;1.0;2.7;2.0;5.41;37.0;0.139;33.0;20.0;62.0;#FFFF00;0.0;0.0;1.0;3.03;2.0;6.06;33.0;328;1989-02-07
Bahrain - Victorious;govekar matevz;0.036;9;45;60.0;#FFFF00;0.0;0.0;1.0;11.11;2.0;22.22;9.0;-0.276;4.0;15.0;54.0;#FFA500;0.0;0.0;0.0;0.0;1.0;25.0;4.0;329;2000-04-17
Alpecin - Deceuninck;conci nicola;0.033;35;0;60.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;35.0;0.001;27.0;0.0;59.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;27.0;330;1997-01-05
Team dsm-firmenich PostNL;roosen timo;0.029;38;0;60.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;2.63;38.0;0.105;35.0;0.0;61.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;2.86;35.0;331;1993-01-11
Astana Qazaqstan Team;schelling ide;0.028;14;15;60.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;14.29;14.0;0.205;9.0;15.0;63.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;22.22;9.0;332;1998-02-06
Groupama - FDJ;konovalovas ignatas;0.022;63;9;59.0;#FFA500;0.0;0.0;0.0;0.0;3.0;4.76;63.0;0.022;63.0;9.0;59.0;#FFA500;0.0;0.0;0.0;0.0;3.0;4.76;63.0;333;1985-12-08
Movistar Team;moro manlio;0.02;3;0;59.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;3.0;;;;;;;;;;;;;334;2002-03-17
Team Visma | Lease a Bike;gloag thomas;0.02;6;0;59.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;6.0;-0.041;5.0;0.0;58.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;5.0;335;2001-09-13
Cofidis;de gendt aime;0.019;42;4;59.0;#FFA500;0.0;0.0;0.0;0.0;4.0;9.52;42.0;0.042;37.0;4.0;60.0;#FFFF00;0.0;0.0;0.0;0.0;4.0;10.81;37.0;336;1994-06-17
Alpecin - Deceuninck;dillier silvan;0.019;62;85;59.0;#FFA500;0.0;0.0;3.0;4.84;5.0;8.06;62.0;0.126;54.0;85.0;61.0;#FFFF00;0.0;0.0;3.0;5.56;5.0;9.26;54.0;337;1990-08-03
Astana Qazaqstan Team;gruzdev dmitriy;0.012;65;20;59.0;#FFA500;0.0;0.0;0.0;0.0;1.0;1.54;65.0;0.028;62.0;20.0;60.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;1.61;62.0;338;1986-03-01
Soudal Quick-Step;lamperti luke;0.012;3;0;59.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;3.0;;;;;;;;;;;;;339;2002-12-31
Astana Qazaqstan Team;garofoli gianmarco;-0.002;7;0;59.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;7.0;-0.158;3.0;0.0;56.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;3.0;340;2002-10-06
Team Visma | Lease a Bike;vader milan;-0.01;9;0;59.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.33;4.0;0.0;65.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;4.0;341;1996-02-18
Alpecin - Deceuninck;gogl michael;-0.017;39;0;59.0;#FFA500;0.0;0.0;0.0;0.0;1.0;2.56;39.0;0.013;36.0;0.0;59.0;#FFA500;0.0;0.0;0.0;0.0;1.0;2.78;36.0;342;1993-11-04
Cofidis;martin guillaume;-0.023;49;0;59.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;49.0;0.003;41.0;0.0;59.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;41.0;343;1993-06-09
Soudal Quick-Step;lecerf william junior;-0.025;6;0;59.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;6.0;-0.081;1.0;0.0;57.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;1.0;344;2002-10-15
Bahrain - Victorious;scott cameron;-0.025;5;40;59.0;#FFA500;0.0;0.0;1.0;20.0;1.0;20.0;5.0;0.654;2.0;0.0;71.0;#ADFF2F;0.0;0.0;0.0;0.0;0.0;0.0;2.0;345;1998-01-04
Lidl - Trek;simmons quinn;-0.027;14;0;59.0;#FFA500;0.0;0.0;0.0;0.0;1.0;7.14;14.0;-0.161;11.0;0.0;56.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;11.0;346;2001-05-08
Astana Qazaqstan Team;bol cees;-0.028;28;3;59.0;#FFA500;0.0;0.0;0.0;0.0;5.0;17.86;28.0;0.005;23.0;3.0;59.0;#FFA500;0.0;0.0;0.0;0.0;5.0;21.74;23.0;347;1995-07-27
Lidl - Trek;ronhaar pim;-0.028;1;0;59.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;;;;;;;;;;;;348;2001-07-20
Arkea - B&B Hotels;biermans jenthe;-0.029;28;0;58.0;#FFA500;0.0;0.0;0.0;0.0;1.0;3.57;28.0;-0.029;24.0;0.0;58.0;#FFA500;0.0;0.0;0.0;0.0;1.0;4.17;24.0;349;1995-10-30
Arkea - B&B Hotels;ledanois kevin;-0.038;25;0;58.0;#FFA500;0.0;0.0;0.0;0.0;1.0;4.0;25.0;-0.038;25.0;0.0;58.0;#FFA500;0.0;0.0;0.0;0.0;1.0;4.0;25.0;350;1993-07-01
Team dsm-firmenich PostNL;liepins emils;-0.039;22;0;58.0;#FFA500;0.0;0.0;0.0;0.0;1.0;4.55;22.0;0.053;18.0;0.0;60.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;5.56;18.0;351;1992-10-29
Cofidis;oldani stefano;-0.043;28;0;58.0;#FFA500;0.0;0.0;0.0;0.0;1.0;3.57;28.0;0.02;22.0;0.0;59.0;#FFA500;0.0;0.0;0.0;0.0;1.0;4.55;22.0;352;1998-01-10
Astana Qazaqstan Team;pronskiy vadim;-0.044;19;0;58.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;19.0;0.002;15.0;0.0;59.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;15.0;353;1998-06-04
Astana Qazaqstan Team;charmig anthon;-0.044;11;0;58.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.026;10.0;0.0;60.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;10.0;354;1998-03-25
Groupama - FDJ;pithie laurence;-0.047;10;20;58.0;#FFA500;0.0;0.0;1.0;10.0;1.0;10.0;10.0;0.44;5.0;0.0;67.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;5.0;355;2002-07-17
Decathlon AG2R La Mondiale Team;bonnamour franck;-0.054;23;0;58.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;23.0;-0.054;23.0;0.0;58.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;23.0;356;1995-06-20
UAE Team Emirates;hodeg alvaro jose;-0.058;18;0;58.0;#FFA500;0.0;0.0;0.0;0.0;1.0;5.56;18.0;0.109;16.0;0.0;61.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;6.25;16.0;357;1996-09-16
Red Bull - BORA - hansgrohe;palzer anton;-0.062;15;0;58.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;15.0;-0.232;12.0;0.0;55.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;12.0;358;1993-03-11
Intermarche - Wanty;kuypers gerben;-0.068;2;0;58.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;2.0;;;;;;;;;;;;;359;2000-02-01
Alpecin - Deceuninck;philipsen jasper;-0.071;26;0;58.0;#FFA500;0.0;0.0;0.0;0.0;1.0;3.85;26.0;-0.12;21.0;0.0;57.0;#FFA500;0.0;0.0;0.0;0.0;1.0;4.76;21.0;360;1998-03-02
Astana Qazaqstan Team;brussenskiy gleb;-0.073;12;0;58.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.042;7.0;0.0;60.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;7.0;361;2000-04-18
Decathlon AG2R La Mondiale Team;naesen oliver;-0.075;51;0;58.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;51.0;-0.06;45.0;0.0;58.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;45.0;362;1990-09-16
Red Bull - BORA - hansgrohe;van poppel danny;-0.08;53;53;58.0;#FFA500;2.0;3.77;3.0;5.66;5.0;9.43;53.0;-0.043;46.0;53.0;58.0;#FFA500;2.0;4.35;3.0;6.52;4.0;8.7;46.0;363;1993-07-26
Team Visma | Lease a Bike;hessmann michel;-0.08;8;1;58.0;#FFA500;0.0;0.0;0.0;0.0;1.0;12.5;8.0;-0.08;8.0;1.0;58.0;#FFA500;0.0;0.0;0.0;0.0;1.0;12.5;8.0;364;2001-04-06
Decathlon AG2R La Mondiale Team;bouchard geoffrey;-0.084;30;0;57.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;30.0;-0.027;27.0;0.0;59.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;27.0;365;1992-04-01
Team Jayco AlUla;engelhardt felix;-0.087;12;0;57.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;12.0;-0.241;4.0;0.0;54.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;4.0;366;2000-08-19
Bahrain - Victorious;bruttomesso alberto;-0.091;1;0;57.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;;;;;;;;;;;;367;2003-10-30
Groupama - FDJ;sarreau marc;-0.105;40;6;57.0;#FFA500;0.0;0.0;1.0;2.5;4.0;10.0;40.0;-0.062;35.0;6.0;58.0;#FFA500;0.0;0.0;1.0;2.86;4.0;11.43;35.0;368;1993-06-10
Cofidis;noppe christophe;-0.106;26;0;57.0;#FFA500;0.0;0.0;0.0;0.0;1.0;3.85;26.0;-0.048;23.0;0.0;58.0;#FFA500;0.0;0.0;0.0;0.0;1.0;4.35;23.0;369;1994-11-29
Alpecin - Deceuninck;osborne jason;-0.113;10;0;57.0;#FFA500;0.0;0.0;0.0;0.0;2.0;20.0;10.0;0.426;7.0;0.0;67.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;28.57;7.0;370;1994-03-20
Lidl - Trek;ciccone giulio;-0.12;38;0;57.0;#FFA500;0.0;0.0;0.0;0.0;1.0;2.63;38.0;-0.21;32.0;0.0;55.0;#FFA500;0.0;0.0;0.0;0.0;1.0;3.12;32.0;371;1994-12-20
Movistar Team;barrenetxea jon;-0.121;14;0;57.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;14.0;0.024;9.0;0.0;59.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;9.0;372;2000-04-20
Movistar Team;garcia cortina ivan;-0.122;36;0;57.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;36.0;-0.111;32.0;0.0;57.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;32.0;373;1995-11-20
Team Jayco AlUla;de pretto davide;-0.123;4;0;57.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;4.0;;;;;;;;;;;;;374;2002-04-19
Intermarche - Wanty;smith dion;-0.128;43;0;57.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;43.0;-0.09;36.0;0.0;57.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;36.0;375;1993-03-03
Team dsm-firmenich PostNL;bittner pavel;-0.131;13;3;57.0;#FFA500;0.0;0.0;0.0;0.0;1.0;7.69;13.0;-0.079;4.0;0.0;58.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;4.0;376;2002-10-29
Intermarche - Wanty;braet vito;-0.136;14;0;56.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;14.0;-0.147;8.0;0.0;56.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;8.0;377;2000-11-02
Intermarche - Wanty;busatto francesco;-0.146;3;0;56.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;3.0;;;;;;;;;;;;;378;2002-11-01
Arkea - B&B Hotels;ries michel;-0.148;19;90;56.0;#FFA500;0.0;0.0;3.0;15.79;3.0;15.79;19.0;-0.146;15.0;60.0;56.0;#FFA500;0.0;0.0;2.0;13.33;2.0;13.33;15.0;379;1998-03-11
Intermarche - Wanty;petit adrien;-0.149;48;26;56.0;#FFA500;1.0;2.08;1.0;2.08;4.0;8.33;48.0;-0.11;45.0;26.0;57.0;#FFA500;1.0;2.22;1.0;2.22;4.0;8.89;45.0;380;1990-09-26
Bahrain - Victorious;van mechelen vlad;-0.152;2;0;56.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;2.0;;;;;;;;;;;;;381;2004-06-02
Lidl - Trek;declercq tim;-0.171;42;0;56.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;42.0;-0.158;37.0;0.0;56.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;37.0;382;1989-03-21
Decathlon AG2R La Mondiale Team;lafay victor;-0.187;18;0;55.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;18.0;-0.116;15.0;0.0;57.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;15.0;383;1996-01-17
Astana Qazaqstan Team;morkov michael;-0.187;80;7;55.0;#FFA500;0.0;0.0;1.0;1.25;2.0;2.5;80.0;-0.088;74.0;7.0;57.0;#FFA500;0.0;0.0;1.0;1.35;2.0;2.7;74.0;384;1985-04-30
INEOS Grenadiers;narvaez jhonatan;-0.192;26;0;55.0;#FFA500;0.0;0.0;0.0;0.0;1.0;3.85;26.0;-0.182;22.0;0.0;56.0;#FFA500;0.0;0.0;0.0;0.0;1.0;4.55;22.0;385;1997-03-04
Alpecin - Deceuninck;kielich timo;-0.196;11;0;55.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.206;4.0;0.0;63.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;4.0;386;1999-08-05
Groupama - FDJ;walls matthew;-0.197;9;0;55.0;#FFA500;0.0;0.0;0.0;0.0;1.0;11.11;9.0;-0.116;5.0;0.0;57.0;#FFA500;0.0;0.0;0.0;0.0;1.0;20.0;5.0;387;1998-04-20
Arkea - B&B Hotels;rodriguez cristian;-0.197;33;0;55.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;33.0;-0.259;25.0;0.0;54.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;25.0;388;1995-03-03
Lidl - Trek;consonni simone;-0.2;42;0;55.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;42.0;-0.206;35.0;0.0;55.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;35.0;389;1994-09-12
Movistar Team;arcas jorge;-0.201;41;1;55.0;#FFA500;0.0;0.0;0.0;0.0;1.0;2.44;41.0;-0.137;33.0;1.0;56.0;#FFA500;0.0;0.0;0.0;0.0;1.0;3.03;33.0;390;1992-07-08
Cofidis;mahoudo nolann;-0.202;4;0;55.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;4.0;;;;;;;;;;;;;391;2002-11-17
Movistar Team;rangel vinicius;-0.214;2;0;55.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;2.0;-0.214;2.0;0.0;55.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;2.0;392;2001-05-26
Intermarche - Wanty;zimmermann georg;-0.22;23;0;55.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;23.0;-0.226;19.0;0.0;55.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;19.0;393;1997-10-11
Arkea - B&B Hotels;owsian lukasz;-0.221;44;0;55.0;#FFA500;0.0;0.0;0.0;0.0;2.0;4.55;44.0;-0.111;36.0;0.0;57.0;#FFA500;0.0;0.0;0.0;0.0;2.0;5.56;36.0;394;1990-02-02
Cofidis;renard alexis;-0.225;19;0;55.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;19.0;-0.098;13.0;0.0;57.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;13.0;395;1999-06-01
Decathlon AG2R La Mondiale Team;prodhomme nicolas;-0.227;22;0;55.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;22.0;-0.454;14.0;0.0;50.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;14.0;396;1997-02-01
Bahrain - Victorious;stannard robert;-0.233;18;0;55.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;18.0;-0.157;17.0;0.0;56.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;17.0;397;1998-09-16
EF Education - EasyPost;ryan archie;-0.243;6;0;54.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.207;2.0;0.0;63.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;2.0;398;2001-11-16
UAE Team Emirates;covi alessandro;-0.245;24;0;54.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;24.0;-0.294;19.0;0.0;53.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;19.0;399;1998-09-28
Alpecin - Deceuninck;van tricht stan;-0.245;12;0;54.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.071;8.0;0.0;60.0;#FFFF00;0.0;0.0;0.0;0.0;0.0;0.0;8.0;400;1999-09-20
Groupama - FDJ;barthe cyril;-0.253;29;0;54.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;29.0;-0.301;22.0;0.0;53.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;22.0;401;1996-02-01
Groupama - FDJ;van den berg lars;-0.262;9;0;54.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;9.0;-0.396;8.0;0.0;51.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;8.0;402;1998-07-07
Red Bull - BORA - hansgrohe;koch jonas;-0.269;31;0;54.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;31.0;-0.221;28.0;0.0;55.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;28.0;403;1993-06-25
Alpecin - Deceuninck;vermeersch gianni;-0.269;22;10;54.0;#FFA500;0.0;0.0;0.0;0.0;1.0;4.55;22.0;-0.385;16.0;0.0;52.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;16.0;404;1992-11-19
Soudal Quick-Step;van lerberghe bert;-0.272;46;0;54.0;#FFA500;0.0;0.0;0.0;0.0;1.0;2.17;46.0;-0.236;39.0;0.0;55.0;#FFA500;0.0;0.0;0.0;0.0;1.0;2.56;39.0;405;1992-09-29
Alpecin - Deceuninck;bayer tobias;-0.274;20;26;54.0;#FFA500;0.0;0.0;0.0;0.0;3.0;15.0;20.0;-0.333;15.0;25.0;53.0;#FFA500;0.0;0.0;0.0;0.0;2.0;13.33;15.0;406;1999-11-17
Groupama - FDJ;askey lewis;-0.277;13;1;54.0;#FFA500;0.0;0.0;0.0;0.0;1.0;7.69;13.0;-0.161;9.0;1.0;56.0;#FFA500;0.0;0.0;0.0;0.0;1.0;11.11;9.0;407;2001-05-04
INEOS Grenadiers;viviani elia;-0.279;71;0;54.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;71.0;-0.266;68.0;0.0;54.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;68.0;408;1989-02-07
Astana Qazaqstan Team;kanter max;-0.281;21;0;54.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;21.0;-0.31;16.0;0.0;53.0;#FFA500;0.0;0.0;0.0;0.0;0.0;0.0;16.0;409;1997-10-22
