Equipo;Corredor;Coef_historico;N_carreras;uci;Rating_historico;Color_gauge;victorias;victorias_pct;podiums;podiums_pct;top10;top10_pct;numero_cri;Coef_historico_old;N_carrers_old;uci_old;Rating_historico_old;Color_gauge_old;victorias_old;victorias_pct_old;podiums_old;podiums_pct_old;top10_old;top10_pct_old;numero_cri_old;Ranking;nacimiento
Groupama - FDJ;gaudu david;0.515;41;30;69.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;4.88;41.0;0.541;32.0;30.0;69.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;6.25;32.0;176;1996-10-10
Lidl - Trek;konrad patrick;0.512;59;23;69.0;#FFFF00;0.0;0.0;2.0;3.39;4.0;6.78;59.0;0.487;52.0;23.0;68.0;#FFFF00;0.0;0.0;2.0;3.85;4.0;7.69;52.0;177;1991-10-01
Lidl - Trek;cataldo dario;0.508;77;17;69.0;#FFFF00;0.0;0.0;0.0;0.0;9.0;11.69;77.0;0.535;75.0;17.0;69.0;#FFFF00;0.0;0.0;0.0;0.0;9.0;12.0;75.0;178;1985-03-17
Red Bull - BORA - hansgrohe;buchmann emanuel;0.499;41;0;69.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;4.88;41.0;0.549;38.0;0.0;69.0;#FFFF00;0.0;0.0;0.0;0.0;2.0;5.26;38.0;179;1992-11-18
Movistar Team;lazkano oier;0.493;24;95;68.0;#FFFF00;0.0;0.0;2.0;8.33;4.0;16.67;24.0;0.412;18.0;60.0;67.0;#FFFF00;0.0;0.0;2.0;11.11;2.0;11.11;18.0;180;1999-11-07
EF Education - EasyPost;valgren michael;0.492;53;45;68.0;#FFFF00;0.0;0.0;1.0;1.89;4.0;7.55;53.0;0.54;46.0;45.0;69.0;#FFFF00;0.0;0.0;1.0;2.17;4.0;8.7;46.0;181;1992-02-07
Soudal Quick-Step;moscon gianni;0.481;33;180;68.0;#FFFF00;2.0;6.06;3.0;9.09;8.0;24.24;33.0;0.641;29.0;180.0;71.0;#ADFF2F;2.0;6.9;3.0;10.34;8.0;27.59;29.0;182;1994-04-20
Team dsm-firmenich PostNL;tusveld martijn;0.481;47;9;68.0;#FFFF00;0.0;0.0;0.0;0.0;3.0;6.38;47.0;0.554;41.0;9.0;70.0;#ADFF2F;0.0;0.0;0.0;0.0;3.0;7.32;41.0;183;1993-09-09
Lidl - Trek;gibbons ryan;0.478;35;141;68.0;#FFFF00;2.0;5.71;3.0;8.57;5.0;14.29;35.0;0.475;29.0;91.0;68.0;#FFFF00;1.0;3.45;2.0;6.9;4.0;13.79;29.0;184;1994-08-01
EF Education - EasyPost;carthy hugh;0.472;40;12;68.0;#FFFF00;0.0;0.0;0.0;0.0;3.0;7.5;40.0;0.48;39.0;12.0;68.0;#FFFF00;0.0;0.0;0.0;0.0;3.0;7.69;39.0;185;1994-07-09
Soudal Quick-Step;reinderink pepijn;0.469;6;1;68.0;#FFFF00;0.0;0.0;0.0;0.0;1.0;16.67;6.0;;;;;;;;;;;;;186;2002-05-04
